Symbol,Description,Quantity,Current Value,target_weight,current_weight,underweight,buy_allocation,price,shares_to_buy,overweight,sell_allocation,shares_to_sell
AAPL,APPLE INC,2.331,492.14,0.03225806451612903,0.03226817453427715,0.0,0.0,211.3000030517578,0.0,1.011001814811563e-05,0.15419354838707441,0.0
ADP,AUTOMATIC DATA PROCESSING INC COM,1.636,486.84,0.03225806451612903,0.031920669098767604,0.0003373954173614274,4.386473865668045,298.0899963378906,0.01,0.0,0.0,0.0
AMZN,AMAZON.COM INC,2.579,485.41,0.03225806451612903,0.03182690819824333,0.0004311563178856989,5.605458234180211,188.6999969482422,0.03,0.0,0.0,0.0
ANET,ARISTA NETWORKS INC COM SHS,6.588,580.84,0.03225806451612903,0.0380839730493143,0.0,0.0,87.91999816894531,0.0,0.005825908533185271,88.85419354838716,1.01
AVGO,BROADCOM INC COM,2.688,530.67,0.03225806451612903,0.034794473483368255,0.0,0.0,198.02499389648438,0.0,0.002536408967239223,38.68419354838704,0.2
BSX,BOSTON SCIENTIFIC CORP,4.821,494.73,0.03225806451612903,0.0324379932282337,0.0,0.0,102.88500213623047,0.0,0.0001799287121046697,2.7441935483870963,0.03
CDNS,CADENCE DESIGN SYSTEMS INC COM USD0.01,1.777,535.35,0.03225806451612903,0.03510132733962952,0.0,0.0,302.17999267578125,0.0,0.002843262823500489,43.36419354838712,0.14
ETN,EATON CORPORATION PLC,1.69,513.23,0.03225806451612903,0.033650983899351936,0.0,0.0,304.239990234375,0.0,0.0013929193832229042,21.244193548387116,0.07
GOOG,ALPHABET INC CAP STK CL C,2.988,483.42,0.03225806451612903,0.03169642974226899,0.0005616347738600438,7.301807110641314,162.25,0.05,0.0,0.0,0.0
HD,HOME DEPOT INC,1.34,485.02,0.03225806451612903,0.03180133704355489,0.00045672747257414353,5.937908516501801,360.135009765625,0.02,0.0,0.0,0.0
KO,COCA-COLA CO,7.273,520.01,0.03225806451612903,0.034095528588550944,0.0,0.0,71.57499694824219,0.0,0.0018374640724219127,28.024193548387146,0.39
LIN,LINDE PLC COM EUR0.001,1.078,480.27,0.03225806451612903,0.03148989349286237,0.0007681710232666644,9.986982467853538,443.5199890136719,0.02,0.0,0.0,0.0
LOW,LOWES COMPANIES INC COM USD0.50,2.163,485.68,0.03225806451612903,0.03184461130533532,0.00041345321079371,5.375300346419255,224.24000549316406,0.02,0.0,0.0,0.0
MA,MASTERCARD INCORPORATED CL A,0.906,489.58,0.03225806451612903,0.032100322852219705,0.00015774166390932626,2.0507975232041677,543.7899780273438,0.0,0.0,0.0,0.0
META,META PLATFORMS INC CLASS A COMMON STOCK,0.919,526.11,0.03225806451612903,0.034495487674703444,0.0,0.0,579.27001953125,0.0,0.002237423158574413,34.12419354838717,0.06
NVDA,NVIDIA CORPORATION COM,4.631,523.77,0.03225806451612903,0.03434206074657281,0.0,0.0,113.05989837646484,0.0,0.00208399623044378,31.784193548387133,0.28
PANW,PALO ALTO NETWORKS INC COM USD0.0001,2.834,532.16,0.03225806451612903,0.03489216840769075,0.0,0.0,187.5399932861328,0.0,0.002634103891561719,40.17419354838705,0.21
PEP,PEPSICO INC,3.52,473.0,0.03225806451612903,0.031013220942644557,0.0012448435734844741,16.18419670497496,133.97999572753906,0.12,0.0,0.0,0.0
PG,PROCTER AND GAMBLE CO COM,3.094,498.31,0.03225806451612903,0.03267272331486091,0.0,0.0,161.05599975585938,0.0,0.00041465879873187755,6.3241935483871545,0.04
SNPS,SYNOPSYS INC,1.107,511.28,0.03225806451612903,0.03352312812590974,0.0,0.0,463.1700134277344,0.0,0.0012650636097807089,19.294193548387067,0.04
SYK,STRYKER CORPORATION COM,1.338,500.62,0.03225806451612903,0.03282418323109243,0.0,0.0,374.3575134277344,0.0,0.0005661187149633984,8.634193548387168,0.02
TJX,TJX COMPANIES INC,3.844,492.95,0.03225806451612903,0.032321283855553135,0.0,0.0,128.4499969482422,0.0,6.321933942410318e-05,0.964193548387075,0.01
UBER,UBER TECHNOLOGIES INC COM,6.968,564.82,0.03225806451612903,0.03703358869518922,0.0,0.0,81.68000030517578,0.0,0.0047755241790601866,72.83419354838718,0.89
V,VISA INC,1.482,506.08,0.03225806451612903,0.033182179396730564,0.0,0.0,341.88751220703125,0.0,0.0009241148806015329,14.094193548387114,0.04
WMT,WALMART INC COM,5.392,523.5,0.03225806451612903,0.034324357639480815,0.0,0.0,97.55500030517578,0.0,0.002066293123351784,31.514193548387134,0.32
RSG,REPUBLIC SERVICES INC,2.135,530.23,0.03225806451612903,0.03476562397551464,0.0,0.0,249.27499389648438,0.0,0.0025075594593856054,38.24419354838712,0.15
MCO,MOODYS CORP COM USD0.01,1.096,495.05,0.03225806451612903,0.032458974688490884,0.0,0.0,455.1600036621094,0.0,0.00020091017236185255,3.0641935483871356,0.01
ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,0.714,475.25,0.03225806451612903,0.031160746835077854,0.0010973176810511777,14.266214306966278,664.4500122070312,0.02,0.0,0.0,0.0
CTAS,CINTAS CORP,2.306,480.82,0.03225806451612903,0.031525955377679396,0.0007321091384496353,9.51814232611807,209.16000366210938,0.05,0.0,0.0,0.0
PWR,QUANTA SERVICES COM USD0.00001,1.729,554.42,0.03225806451612903,0.03635169123683085,0.0,0.0,322.8500061035156,0.0,0.004093626720701821,62.43419354838706,0.19
LLY,,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,419.38671859747234,835.8300170898438,0.5,0.0,0.0,0.0
